,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
637,G,5.41,38,1.15,0,1.0,3420,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,58.0,Ligue 1,13.0,7.5,3.5,5.5
638,G,5.38,37,1.33,0,1.0,3330,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,38.0,Ligue 1,17.0,8.0,1.0,5.5
639,G,5.33,18,1.28,0,0.94,1607,89.28,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,18.0,Ligue 1,7.0,7.0,3.0,0.0
640,G,5.33,38,1.19,0,1.0,3420,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,34.0,Ligue 1,16.0,7.5,3.0,5.25
641,MD,5.33,29,1.1,0,0.86,2199,75.83,8.0,3.0,4.0,5.0,0.879,1689.0,28.0,44.0,56.11,44.0,0.0,0.0,Ligue 1,12.0,7.5,3.5,4.75
642,MD,5.31,21,0.68,0,0.43,807,38.43,3.0,0.0,0.0,1.0,0.7855,610.0,18.0,17.0,62.07,7.0,0.0,0.0,Ligue 1,10.0,7.0,4.5,4.5
643,G,5.31,21,1.23,0,1.0,1813,86.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,Ligue 1,13.0,8.0,2.5,3.75
644,DC,5.3,28,0.79,0,1.0,2462,87.93,9.5,0.0,2.0,6.0,0.8648,1762.0,52.0,31.0,67.42,32.0,0.0,0.0,Ligue 1,8.0,7.0,3.5,5.0
645,DL,5.28,36,0.67,0,0.47,1656,46.0,11.5,1.0,3.0,9.0,0.8253,1233.0,35.0,15.0,63.09,19.0,0.0,0.0,Ligue 1,13.0,7.0,4.0,5.0
646,DC,5.28,34,0.75,0,0.97,2872,84.47,6.5,0.0,0.0,4.0,0.8555,2588.0,39.0,49.0,65.65,21.0,0.0,0.0,Ligue 1,15.0,6.5,3.5,5.5
647,DL,5.26,17,0.81,0,0.94,1419,83.47,6.0,2.0,3.0,6.0,0.7728,1078.0,21.0,19.0,50.36,18.0,0.0,0.0,Ligue 1,12.0,7.0,3.5,0.0
648,DL,5.24,19,0.77,0,0.63,1133,59.63,6.5,3.0,4.0,5.0,0.8899,837.0,14.0,23.0,54.96,16.0,0.0,0.0,Ligue 1,4.0,7.0,4.0,2.0
649,DC,5.23,15,1.07,0,1.0,1259,83.93,7.0,0.0,0.0,2.0,0.7951,823.0,33.0,19.0,60.53,21.0,0.0,0.0,Ligue 1,15.0,6.5,3.5,0.0
