Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Lovric Sandi,MD,15,,5.31,5.28,5.31,37,25,37,0.78,0.84,0.78,5,4,5,0.76,0.84,0.76,2350,1730,2350,63.51,69.2,63.51,470,470,6,3,5.5,6,5,4.5,6,6,4.5,6.5,3.5,6,5,4.5,7,5.5,6,6,5,5,5,5,4,5.5,5,4,6,0,5,5,5,4.5,5,5.5,7,6,6,5,5.5,5,7,,,,6,2,23,0.8194,1347,26,18,46.73,31,,,0,Udinese,,,,,,,SerieA
Pasalic Mario,MO,22,37,5.25,5.56,5.22,32,8,34,0.82,0.98,0.81,5,3,5,0.75,1,0.76,1786,505,1923,55.81,63.13,56.56,357,385,6,4.4,5,6,7,5,4.5,5,5,7,0,5,5,4.5,5,5,0,0,0,5,5,5,0,5,6,4.5,4,5,6.5,4.5,7,5,5,4.5,4.5,5,5,0,5.5,7,4,,,,2,2,9,0.8093,948,21,11,42.21,24,,,0,Atalanta,,,,,,,SerieA
Samardzic Lazar,MO,18,24,5.18,5.18,5.19,37,36,39,1.02,1.04,1,5,5,5,0.51,0.53,0.49,1849,1835,1931,49.97,50.97,49.51,370,386,6.5,3.6,4.5,4,4.5,4,5,4.5,5,8,3.5,5,3.5,6,5,5,5,4.5,6,5.5,7,5.5,5,4.5,5,6.5,5,3.5,5,4.5,6,5,6,5.5,6.5,7.5,5,5,0,5,6.5,,,4,4,5,16,0.8648,1175,11,17,40,26,,,0,Udinese,,,,,,,SerieA
Pereyra Roberto,MO,16,18,5.1,4.39,5.13,34,9,36,1.13,1.08,1.15,5,1,6,0.97,1,0.97,2836,800,2980,83.41,88.89,82.78,567,497,5.5,3.2,4,4,5,4,6.5,4.5,4,5,2.5,0,4,7.5,6,5,5.5,5,5,0,0,0,4.5,5,6.5,3.5,5,6,5.5,4,5,6.5,4.5,5,6.5,8,5,5,5,5.5,9.5,,,,7,8,19,0.8367,1718,16,20,44.93,31,,,0,Udinese,,,,,,,SerieA
Dany Mota,A,12,,5.09,5.56,5.09,29,9,29,1.04,0.98,1.04,5,2,5,0.72,1,0.72,1925,717,1925,66.38,79.67,66.38,385,385,6.5,2.4,5,5,5.5,7.5,5,5,5,7,5,0,4.5,5,0,0,4.5,4.5,4.5,4.5,7,5,0,5,5,7.5,0,5,0,4,0,4,4.5,4.5,3.5,4,4.5,0,0,6.5,9.5,,,,1,1,19,0.7297,930,6,7,42.02,20,,,0,Monza,,,,,,,SerieA
Caprari Gianluca,A,19,19,5.07,5.28,5.08,37,9,39,1.01,0.79,0.99,5,1,5,0.86,0.78,0.87,2464,568,2639,66.59,63.11,67.67,493,528,6.5,3.8,4.5,4,5,6,6.5,5,5.5,6,5,0,4,5,5.5,6,4,5.5,5,4,5,7,7.5,4.5,5,5.5,4,6,4.5,4,5,5,7,5.5,5,4,4,5.5,2.5,4.5,10.5,1,,1,2,1,22,0.8212,1485,8,6,42.91,34,,,0,Monza,,,,,,,SerieA
Pinamonti Andrea,A,14,21,4.72,4.5,4.71,32,4,33,0.98,0.41,0.97,5,0,5,0.78,0.75,0.79,2173,250,2263,67.91,62.5,68.58,435,453,5.5,2.8,4,5,4.5,4.5,0,0,2,4,4.5,4.5,6,4,7.5,5,4,4.5,4.5,0,0,0,0,5,5,4,6,4.5,5,4.5,3,4,5.5,4.5,5,5,4.5,6.5,5.5,5,6,1,,,,3,21,0.6628,839,2,7,33.21,21,,,0,Sassuolo,,,,,,,SerieA
Colombo Lorenzo,A,8,,4.59,4.57,4.59,33,7,33,0.84,0.61,0.84,5,1,5,0.55,0.57,0.55,1518,240,1518,46,34.29,46,304,304,5.5,1.6,3.5,5.5,4.5,4.5,4.5,4.5,5,0,5,0,3.5,4.5,4,0,4,4,4.5,4,4.5,3,5,4,6.5,7,4.5,6.5,4.5,4.5,0,4.5,4.5,0,4.5,4.5,5.5,4.5,4,4,4.5,1,,1,2,3,16,0.6335,656,2,9,28.05,36,,,0,Lecce,,,,,,,SerieA
Pellegrini Lorenzo,MO,32,41,5.77,5.5,5.87,32,1,34,1,0,1.06,4,0,5,0.91,1,0.91,2554,90,2726,79.81,90,80.18,639,545,6.5,8,5.5,0,6,5.5,6,5,5.5,6.5,7,5.5,6,6,0,6.5,5,0,5.5,6,5.5,0,5.5,6,7,0,0,4.5,5.5,3.5,7,5,6,7,5.5,3,7,5.5,8,5.5,11,2,,1,5,11,19,0.7984,1588,26,29,51.52,25,,,0,Roma,,,,,,,SerieA
Dimarco Federico,DL,19,26,5.71,0,5.71,33,0,34,0.77,0,0.76,4,0,4,0.79,0,0.76,2088,0,2118,63.27,0,62.29,522,530,5,4.75,0,6.5,5.5,6,7,6,6.5,5,0,5,0,5,5.5,0,0,6.5,5.5,5.5,5.5,5,5,5,7,5.5,8,5,6,5,6,5,5,5,6,6,6,4.5,6.5,6,10,,1,1,3,12,34,0.7956,1508,18,25,56.69,12,,,0,Inter,,,,,,,SerieA
Baldanzi Tommaso,MO,10,26,5.52,0,5.5,26,0,27,0.82,0,0.81,4,0,4,0.92,0,0.89,1788,0,1804,68.77,0,66.81,447,451,6.5,2.5,0,0,0,5.5,7,6,5,5,5,5,6,4.5,6,5,4.5,4.5,5,5.5,5,7,6,5,6.5,0,5,7,0,5,5.5,0,0,0,0,0,7,5,0,0,9.5,,,1,,1,8,0.8469,914,2,12,49.44,12,,,0,Empoli,,,,,,,SerieA
Miranchuk Aleksey,MO,13,20,5.47,5.17,5.47,29,3,29,0.99,1.26,0.99,4,0,4,0.83,0.67,0.83,2098,207,2098,72.34,69,72.34,525,525,6,3.25,4,6.5,5,0,6,4.5,5,0,6.5,4.5,5,0,6,5,4.5,7,4.5,7,6,7,4,5.5,6,5,5.5,5.5,7,5.5,5,4.5,4,0,0,0,0,0,0,7,10,,,1,5,5,6,0.8079,1070,2,5,38.78,9,,,0,Torino,,,,,,,SerieA
Hernández Theo,DL,22,22,5.41,5.5,5.5,32,5,34,0.89,0.87,0.95,4,1,5,1,1,1,2775,405,2955,86.72,81,86.91,694,591,6,5.5,5,5.5,5,5,7,0,5,6,0,6,5.5,0,4.5,6,6,5,6.5,5,3,0,3.5,5,5,4.5,0,7,4.5,6,5,5,0,6,6,5,6,6,6,6.5,10.5,1,,1,3,3,26,0.7927,2187,20,24,59.09,22,,,0,Milan,,,,,,,SerieA
Saponara Riccardo,MO,13,,5.4,6.17,5.34,29,3,31,0.71,1.15,0.73,4,1,4,0.48,0.67,0.48,1204,143,1290,41.52,47.67,41.61,301,323,5.5,3.25,7.5,5.5,5.5,0,5,0,5,5.5,0,0,6,6.5,5,0,5,5,5,6,5.5,5,0,6.5,5,5,6.5,5,6,0,0,5.5,5,5,5.5,0,4,5,4.5,5,3,,,1,3,5,12,0.7589,659,5,5,48.33,14,,,0,Fiorentina,,,,,,,SerieA
Matheus Henrique,MD,12,,5.4,5.6,5.34,30,20,32,0.7,0.72,0.76,4,4,4,0.7,0.8,0.72,1952,1378,2132,65.07,68.9,66.63,488,533,6,3,5,7,5,6,5,5,6,4,5.5,5,5.5,6,5.5,5.5,6.5,5.5,6.5,6,6.5,5,0,0,5.5,4.5,0,0,4.5,0,5,0,0,0,5,5,5,6,5,4.5,5,,,,1,1,3,0.8541,1098,12,12,56.98,22,,,0,Sassuolo,,,,,,,SerieA
Bremer,DC,19,22,5.37,0,5.37,30,0,30,1.1,0,1.1,4,0,4,1,0,1,2639,0,2639,87.97,0,87.97,660,660,5,4.75,0,5,3,8,0,5.5,0,0,5.5,4.5,5.5,6,6,4.5,7,0,6,6,4,5,2.5,0,6,5.5,6,6,0,0,5.5,4,6,4.5,5,5,6.5,5.5,5.5,6,13.5,,,,1,3,2,0.8943,2027,42,20,56.22,29,,,0,Juventus,,,,,,,SerieA
Lazovic Darko,MO,11,,5.37,6,5.38,30,1,32,1.15,0,1.12,4,0,4,0.9,0,0.91,2253,31,2417,75.1,31,75.53,563,604,6,2.75,6,0,6,5,5,4.5,6,5.5,0,0,0,5,5,6,4.5,5.5,7,7,5.5,7,4.5,8,6,4,5.5,4.5,0,0,0,0,4.5,4,4,7,5,5,6,2.5,4.5,,,,5,13,26,0.6858,1096,16,13,38.06,8,,,0,Verona,,,,,,,SerieA
Di María Ángel,MO,14,22,5.31,5.08,5.46,26,6,28,0.94,0.66,1.08,4,0,6,0.58,0.5,0.61,1362,301,1526,52.38,50.17,54.5,341,254,6,3.5,5.5,4.5,4.5,5.5,6,4.5,0,5,5.5,5,5,0,0,5,6,6,6.5,5,6,7,6,6,0,4.5,5,5,0,0,0,0,0,2.5,0,5,4.5,0,0,7,6,1,,1,4,10,17,0.791,935,7,5,41.61,6,,,0,Juventus,,,,,,,SerieA
Colpani Andrea,MD,12,,5.31,5.75,5.31,27,2,27,0.67,0.35,0.67,4,1,4,0.37,0.5,0.37,941,82,941,34.85,41,34.85,235,235,6,3,6,5.5,0,0,0,5.5,5.5,5.5,6,7,5.5,4.5,5,5,5,0,0,5,0,4.5,4,5,5,6,5.5,6.5,0,0,5,0,0,5,4.5,5.5,5.5,6,4.5,0,3,,,1,1,5,10,0.8056,594,3,9,50.39,22,,,0,Monza,,,,,,,SerieA
Ikoné Jonathan,MO,12,,5.3,5.75,5.24,33,4,35,0.78,1.26,0.82,4,1,4,0.73,0.75,0.71,2007,225,2093,60.82,56.25,59.8,502,523,6,3,5.5,7.5,4.5,5.5,0,6,0,0,5,5,5.5,5,6,6,6,5.5,4.5,0,5.5,5.5,5,5,5,5.5,5.5,6,5.5,6,5,4,4.5,7,5,5,4.5,4,4,0,7.5,,,,4,7,22,0.855,1030,4,8,42.26,28,,,0,Fiorentina,,,,,,,SerieA
Kouamé Christian,A,9,,5.21,5.1,5.21,28,5,28,0.91,0.65,0.91,4,0,4,0.79,0.6,0.79,1870,248,1870,66.79,49.6,66.79,468,468,6,2.25,4.5,6,5.5,5,4.5,0,6,7,0,0,0,5,0,0,0,0,4,0,4.5,5,5,5.5,5.5,4,5,6,5.5,5.5,7,5,3.5,5,4,7,5,4.5,0,6,5,,,,4,5,23,0.736,1066,12,18,50,32,,,0,Fiorentina,,,,,,,SerieA
Sansone Nicola,MO,9,,5.17,6,5.16,18,3,19,0.92,1,0.9,4,1,4,0.44,0,0.42,736,73,761,40.89,24.33,40.05,184,190,6,2.25,5,7,6,0,0,0,0,5.5,6,6,5,4.5,0,0,0,0,0,0,0,0,6.5,3.5,0,0,0,0,4.5,0,4.5,4.5,4,0,0,4.5,6,5,0,5,2,,,,2,2,3,0.7044,349,,4,37.21,13,,,0,Bologna,,,,,,,SerieA
Zappacosta Davide,DL,9,15,5.17,5.23,5.09,21,13,23,1.12,1.15,1.12,4,3,4,0.86,0.92,0.87,1476,1031,1644,70.29,79.31,71.48,369,411,5.5,2.25,4.5,4,7,5,3.5,5.5,7.5,6,4.5,4.5,5,6,5,0,4,4.5,7.5,0,0,0,4,5.5,5.5,0,0,0,0,0,0,0,0,0,0,5,4.5,0,0,0,3,,,2,2,3,18,0.8594,1174,9,18,45.52,18,,,0,Atalanta,,,,,,,SerieA
Pedro,A,15,,5.13,5.11,5.16,36,32,38,0.78,0.74,0.82,4,3,5,0.47,0.53,0.45,1893,1755,1973,52.58,54.84,51.92,473,395,6,3.75,5.5,6,5,5,5,5,4.5,5,4.5,4.5,7,5,5,5,5.5,5.5,4.5,6,4.5,6,5.5,4,4,4,6,5,4.5,6,5,4.5,4.5,6.5,0,4.5,5,7,4.5,0,9.5,,,,3,4,16,0.8301,1259,6,24,48.99,26,,,0,Lazio,,,,,,,SerieA
Vilhena Tonny,MD,14,16,5.08,0,5.09,33,0,35,0.98,0,0.95,4,0,4,0.82,0,0.83,2272,0,2447,68.85,0,69.91,568,612,6,3.5,0,4.5,4.5,5.5,5,4.5,5.5,6,6,4.5,5.5,5,0,0,0,5,5.5,4.5,7,4,3.5,6.5,4,0,4.5,4.5,5,5,4.5,6,3.5,4.5,4.5,6,5.5,8,5.5,4,5.5,,,2,1,2,8,0.7834,1172,17,22,42.86,34,,,0,Salernitana,,,,,,,SerieA
Karamoh Yann,A,10,,4.98,5.4,4.98,21,5,21,1.03,1.29,1.03,4,1,4,0.33,0.4,0.33,707,200,707,33.67,40,33.67,177,177,6.5,2.5,5,6.5,4.5,7,4,0,4.5,4.5,4.5,4.5,0,0,0,7,6.5,5,4,6.5,0,0,4.5,0,0,0,0,4,4,4.5,4.5,4.5,4.5,0,0,0,0,0,0,0,2,,,,,1,6,0.7217,393,,2,40.48,11,,,0,Torino,,,,,,,SerieA
Petagna Andrea,A,9,,4.81,5.4,4.84,31,5,32,0.99,1.08,1,4,2,4,0.61,0.6,0.63,1669,277,1737,53.84,55.4,54.28,417,434,5,2.25,6,4,4.5,6.5,6,0,4,4,0,3.5,4,6,5,6,4.5,5,5,7.5,4.5,5,6,4.5,4,4,4,5.5,5,4.5,0,0,0,0,0,5,4,4.5,3,4,5,1,,,5,6,11,0.7591,722,3,5,44.6,29,,,0,Monza,,,,,,,SerieA
Piatek Krzysztof,A,9,15,4.79,5.4,4.83,33,5,35,0.93,0.82,0.92,4,1,4,0.7,0.8,0.69,2144,405,2253,64.97,81,64.37,536,563,5.5,2.25,4,5.5,5.5,6,6,0,4.5,4.5,6,3.5,4,5,4.5,4.5,6.5,5,4.5,3.5,5,5,4,4,4.5,4,5,6,5.5,4.5,4,6.5,2.5,4,5.5,5,0,0,0,0,2.5,1,,,5,3,17,0.6962,932,2,11,43.82,39,,,0,Salernitana,,,,,,,SerieA
Simeone Giovanni,A,12,,4.66,4.8,4.69,25,5,27,0.73,0.84,0.76,4,1,5,0.04,0,0.11,386,80,546,15.44,16,20.22,97,109,6,3,6,4,5,5,4,0,4.5,0,0,4,3,4.5,4.5,4.5,5,4,0,4.5,6,4.5,0,0,4.5,0,4.5,4.5,0,0,0,6,4,6,5,0,4.5,4.5,0,0,,,,1,1,3,3,0.6355,221,1,3,41.46,7,,,0,Napoli,,,,,,,SerieA
Zielinski Piotr,MO,22,22,5.84,5.78,5.83,37,9,39,0.92,0.75,0.91,3,0,4,0.73,0.56,0.72,2305,507,2389,62.3,56.33,61.26,768,597,6.5,7.33,6,5.5,7.5,6,5.5,5.5,5,6,5,0,3.5,6.5,5.5,5,6,5,6,5,7,6,6.5,5,5.5,7,6.5,7,4.5,6,6,4.5,5.5,5.5,6,6.5,5.5,5.5,8,7.5,11.5,,,,8,12,19,0.8699,1831,14,10,46.43,21,,,0,Napoli,,,,,,,SerieA
Zambo Anguissa André-Frank,MD,19,25,5.83,5.65,5.84,36,27,38,0.88,0.73,0.89,3,1,3,1,1,0.97,3059,2287,3152,84.97,84.7,82.95,1020,1051,8,6.33,6,6,8,4.5,5.5,5,5.5,6,5.5,5,4.5,6,6,5,5,5.5,5.5,5.5,5.5,7,6,6,5,6.5,5.5,5.5,5.5,0,0,5.5,8,6,6,7,4.5,6,7.5,7,15,,,,5,3,13,0.8871,2799,49,33,47.51,44,,,0,Napoli,,,,,,,SerieA
Çalhanoglu Hakan,MO,26,32,5.76,5.5,5.8,33,2,35,1.07,0,1.06,3,0,3,0.85,1,0.86,2375,145,2555,71.97,72.5,73,792,852,6,8.67,5.5,5.5,0,0,6,8,5,6,5,0,0,4.5,5.5,6,5,5.5,6,6.5,6,5,6,5,6,6.5,7.5,5.5,7.5,5,7.5,6,4.5,0,7,3,7,4.5,6,4.5,11.5,1,,1,6,3,21,0.8747,1992,25,27,47.29,46,,,0,Inter,,,,,,,SerieA
Domínguez Nicolás,MD,15,20,5.69,0,5.69,31,0,32,0.76,0,0.75,3,0,3,0.84,0,0.84,2309,0,2399,74.48,0,74.97,770,800,6,5,0,6.5,6,5.5,6,5,5.5,8,6,6,6,0,0,0,5.5,6,6,5,7,5,0,4.5,5,7,0,5,5.5,5.5,6,6,4.5,6,0,6,5.5,5,5,5,8.5,,,1,2,4,8,0.8364,1809,21,50,56.07,43,,,0,Bologna,,,,,,,SerieA
Smalling Chris,DC,20,25,5.59,5.17,5.62,32,3,33,0.87,0.29,0.87,3,0,3,0.97,1,0.97,2807,225,2897,87.72,75,87.79,936,966,6.5,6.67,5.5,5,5,0,0,0,0,0,6.5,6.5,6,5,5.5,6,0,6,5.5,6,4.5,6,6,4.5,6.5,5.5,5,4.5,5,5,6,6.5,7,5.5,5,3,5.5,6,7.5,6,14,,,,1,1,3,0.8673,1683,42,15,68.48,18,,,0,Roma,,,,,,,SerieA
Brozovic Marcelo,MD,15,23,5.54,5.67,5.58,28,18,30,1.05,1.04,1.03,3,1,3,0.68,0.67,0.7,1770,1149,1950,63.21,63.83,65,590,650,5.5,5,7,7,5,6,6.5,8,6.5,6.5,5,4.5,4.5,5.5,4.5,5,4.5,5.5,5.5,5,0,0,0,0,0,4.5,5.5,4.5,0,0,0,0,0,4.5,7,5.5,6,4,7,4.5,7,,,1,5,3,8,0.8937,1741,22,22,48.32,24,,,0,Inter,,,,,,,SerieA
Danilo,DL,22,22,5.49,6.25,5.49,37,2,37,0.89,0.35,0.89,3,0,3,0.95,1,0.95,3182,180,3182,86,90,86,1061,1061,6,7.33,6.5,6,0,6.5,6,5.5,4,5,5.5,5,6,5,4.5,5,6,6,6,6,5,6,3,7,6,5.5,5.5,5.5,6,7.5,7,4,5,4.5,5,5,5,5.5,5,5.5,19.5,,,1,3,3,4,0.8367,2655,47,62,61.68,33,,,0,Juventus,,,,,,,SerieA
Di Lorenzo Giovanni,DL,21,21,5.49,5,5.53,37,1,38,0.92,0,0.94,3,0,3,0.97,1,0.97,3257,90,3347,88.03,90,88.08,1086,1116,6.5,7,5,0,8,5,5.5,5,4.5,6,5,6.5,3.5,6,5.5,5,5,5,7.5,5,5,7.5,6,6,4,4,5.5,5.5,5.5,5.5,5,6.5,5,5,5.5,6,5,5.5,6,6,18,,,1,4,6,25,0.857,3052,30,29,55.22,31,,,0,Napoli,,,,,,,SerieA
Kostic Filip,MO,20,21,5.45,5,5.45,37,3,37,1.02,1,1.02,3,0,3,0.89,1,0.89,2581,198,2581,69.76,66,69.76,860,860,7,6.67,6,5,4,0,5,5.5,5,5.5,4.5,4.5,5,7,6.5,5,5,6,5.5,7,4.5,4,3,6,5,6.5,5,8,6,7,5.5,4.5,7,5,6.5,5.5,5.5,5.5,5,4.5,14,,,,8,10,40,0.7784,1556,16,26,45.18,29,,,0,Juventus,,,,,,,SerieA
Mkhitaryan Henrikh,MO,20,,5.44,0,5.44,31,0,31,0.78,0,0.78,3,0,3,0.77,0,0.77,1996,0,1996,64.39,0,64.39,665,665,5.5,6.67,0,0,0,5.5,5,7,5,0,4.5,5.5,5,4.5,5,7,4,7,6,5.5,6,4.5,5.5,5,6,5,5.5,5,6.5,5.5,6,6.5,5,4.5,5,5.5,0,0,0,5,9.5,,,,2,3,7,0.8769,1353,21,26,46.88,28,,,0,Inter,,,,,,,SerieA
Fagioli Nicolò,MO,11,,5.35,0,5.35,26,0,26,0.86,0,0.86,3,0,3,0.65,0,0.65,1522,0,1522,58.54,0,58.54,507,507,6,3.67,0,0,0,7,5,6,5,5,4,5.5,5,5.5,6,4,4,5,5,6,4,6,0,5,5.5,6,5.5,7.5,6,0,0,0,0,5,5.5,5,0,0,0,0,8,,,,3,1,7,0.855,813,8,19,45.26,20,,,0,Juventus,,,,,,,SerieA
Coulibaly Lassana,MD,15,17,5.26,5.69,5.2,35,8,37,1.13,1.03,1.12,3,1,3,0.97,1,0.97,2900,684,2990,82.86,85.5,80.81,967,997,5.5,5,4.5,5,6.5,6,4.5,5.5,6,7.5,0,5,5.5,5.5,5,5.5,7,5,5.5,4.5,5.5,5,3,0,6,3.5,4.5,5.5,5,6,5,7,3,4.5,3.5,5.5,5,8,0,4.5,6.5,,,1,3,3,6,0.8388,1684,25,50,50.72,53,,,0,Salernitana,,,,,,,SerieA
Sensi Stefano,MD,12,,5.25,0,5.25,28,0,28,0.86,0,0.86,3,0,3,0.75,0,0.75,1628,0,1628,58.14,0,58.14,543,543,5.5,4,0,5.5,5.5,5,4.5,0,5.5,0,5,6,5.5,5.5,5.5,5,4.5,5,6,0,4.5,0,0,0,0,0,0,6,6,4,4.5,5,8,5,6.5,5.5,5,4.5,3.5,5,2,,1,2,1,3,8,0.8631,1530,20,26,57.89,18,,,0,Monza,,,,,,,SerieA
de Roon Marten,MD,19,,5.24,5.23,5.2,35,15,37,0.76,0.75,0.76,3,3,3,0.97,1,0.97,2964,1350,3144,84.69,90,84.97,988,1048,6,6.33,4.5,5,5.5,4,4.5,6,5.5,5,5.5,4.5,7,6,5.5,5,5,0,7,5.5,5.5,6,4.5,5,5,0,4.5,4.5,0,4.5,4.5,6,5.5,4.5,4.5,6,5,6.5,4.5,6,10.5,,,1,1,2,6,0.8249,2269,36,39,52.7,46,,,0,Atalanta,,,,,,,SerieA
Ibañez,DC,14,20,5.24,0,5.24,33,0,35,1.1,0,1.07,3,0,3,0.97,0,0.97,2796,0,2976,84.73,0,85.03,932,992,5.5,4.67,0,5,5,5.5,4,6,4.5,3,0,0,0,4,3.5,6.5,5,6.5,4,7.5,4,5.5,0,5.5,6,5.5,5.5,4,6,5,5.5,5.5,5,5.5,6.5,3,7,6,6.5,5.5,10.5,,,,,1,7,0.8611,2116,67,33,62.67,44,,,0,Roma,,,,,,,SerieA
Bijol Jaka,DC,15,16,5.22,0,5.22,32,0,32,1.15,0,1.15,3,0,3,1,0,1,2732,0,2732,85.38,0,85.38,911,911,7,5,0,4,5,3.5,6,5.5,5.5,7.5,3.5,4.5,3,5.5,6,6,0,4,7,4.5,4.5,6,4.5,5.5,0,3.5,5.5,5,5.5,5,5.5,4.5,7.5,7,0,5,6.5,0,5,0,8.5,,,,2,4,1,0.8378,1750,29,23,59.21,29,,,0,Udinese,,,,,,,SerieA
Lozano Hirving,A,13,,5.2,0,5.23,32,0,33,0.78,0,0.78,3,0,3,0.63,0,0.64,1610,0,1700,50.31,0,51.52,537,567,6,4.33,0,0,0,0,5,4.5,5,5,4,5,5,5,0,4,6,4.5,6.5,5,6,5.5,4.5,4.5,4.5,6,6.5,4.5,6,5,6.5,6,5,0,4.5,5,5,4.5,5.5,7,10,1,,,3,5,20,0.811,892,15,13,51.81,27,,,0,Napoli,,,,,,,SerieA
Udogie Destiny,DL,13,13,5.18,4.5,5.21,33,1,35,1.03,0,1.15,3,0,4,0.94,1,0.94,2716,90,2860,82.3,90,81.71,905,715,6.5,4.33,4.5,0,6,5,5,6,4.5,6,4,4,3.5,7,5.5,7,4.5,3,6.5,5,5,6,4.5,5,5.5,0,0,0,5,5,5,3.5,5,5.5,5,7.5,5,6.5,5,0,9.5,,,1,4,2,19,0.8257,1665,37,45,54.7,37,,,0,Udinese,,,,,,,SerieA
Barrow Musa,A,16,18,5.17,5.12,5.22,32,21,34,1.07,1.05,1.09,3,1,4,0.81,0.81,0.79,1968,1278,2103,61.5,60.86,61.85,656,526,6.5,5.33,6.5,5,7.5,5,5.5,4,5,3.5,4.5,6.5,7,4.5,6,4,5,5.5,4.5,4.5,4.5,4.5,4.5,0,0,4.5,3.5,5.5,5.5,6.5,6.5,0,0,6,7,5,0,4,0,4,6,,,1,8,9,17,0.7677,1138,1,4,36.71,20,,,0,Bologna,,,,,,,SerieA
Baschirotto Federico,DL,14,17,5.15,4.69,5.15,37,13,37,0.93,0.8,0.93,3,0,3,1,1,1,3330,1170,3330,90,90,90,1110,1110,5.5,4.67,4,4,6.5,4.5,4.5,4.5,4.5,4,6,4.5,5.5,4.5,4,0,5,7,5.5,7.5,3.5,3.5,5.5,5.5,5.5,5.5,7,5,5,5,5,5.5,5.5,6,5,4.5,6,5.5,5.5,5,8,,,,,1,4,0.727,1850,36,30,55.34,37,,,0,Lecce,,,,,,,SerieA
Politano Matteo,MO,12,12,5.11,0,5.16,27,0,28,0.75,0,0.78,3,0,4,0.52,0,0.54,1166,0,1233,43.19,0,44.04,389,308,6,4,0,0,5,5,0,0,0,0,5,4.5,4,0,7,4.5,0,4.5,0,4.5,0,4.5,4.5,5,4.5,5,5,5,0,6,4,6,6,6,5,6,6,5,4.5,6,4.5,2,,,3,7,15,0.7833,851,7,9,50.39,11,,,0,Napoli,,,,,,,SerieA
Oudin Remi,MO,10,,5.08,5.26,5.06,31,19,33,0.75,0.9,0.74,3,3,3,0.39,0.58,0.36,1315,1074,1332,42.42,56.53,40.36,438,444,6.5,3.33,6.5,6,6,8,5,5,5.5,6,5,4.5,4.5,5,5,5,4.5,4.5,4.5,4.5,5,0,4.5,4.5,5,4.5,5,5,5,5,4.5,4.5,0,5,0,5,0,0,0,0,3.5,,,1,,1,16,0.6595,827,29,13,51.72,10,,,0,Lecce,,,,,,,SerieA
Gosens Robin,DL,12,12,5.08,4.88,5.08,32,4,33,0.54,0.48,0.53,3,0,3,0.34,0.5,0.33,1167,203,1198,36.47,50.75,36.3,389,399,6,4,5.5,5,4.5,4.5,0,0,6,5,4.5,7,5,0,4.5,5,5,5,5,5.5,4.5,5,5,5,5,5,6.5,5,0,5,5,0,5,0,5,5,5,4.5,5,5,4,,,,,1,7,0.8049,834,23,18,56.64,17,,,0,Inter,,,,,,,SerieA
Djuricic Filip,MO,14,,4.95,0,4.95,32,0,32,0.7,0,0.7,3,0,3,0.84,0,0.84,2188,0,2188,68.38,0,68.38,729,729,6,4.67,0,0,3.5,5.5,4.5,0,4.5,5,5,5,4.5,5.5,7,0,0,5,5,5,4.5,4.5,5,5.5,0,4.5,4,4.5,4,6,5,6,4,5,6,5,5,4.5,5,5.5,4,,,,,2,9,0.8008,1117,7,22,45.79,38,,,0,Sampdoria,,,,,,,SerieA
Verde Daniele,A,11,11,4.9,4.5,5.02,25,2,27,0.79,0,0.88,3,0,4,0.44,0,0.48,994,28,1151,39.76,14,42.63,331,288,7,3.67,4.5,4.5,0,0,5,4.5,4,7,4.5,4.5,4.5,5,0,5,5,5.5,7.5,4,4.5,4.5,0,0,0,5,4.5,5,0,4.5,5,5,0,0,0,0,0,4.5,0,5,1.5,1,,1,,1,16,0.7065,573,8,4,48.08,2,,,0,Spezia,,,,,,,SerieA
Ngonge Cyril,A,8,,4.86,4.7,4.86,14,5,14,1.18,1.2,1.18,3,1,3,0.64,0.8,0.64,747,366,747,53.36,73.2,53.36,249,249,6,2.67,3.5,6,4,4,6,0,0,0,4,6,4,0,0,4.5,3,5,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,,6,0.621,338,6,3,35.07,13,,,0,Verona,,,,,,,SerieA
Tsadjout Frank,A,11,,4.83,4.83,4.83,20,3,20,0.8,1.44,0.8,3,1,3,0.7,0.67,0.7,1057,180,1057,52.85,60,52.85,352,352,6,3.67,6.5,4,4,0,0,0,0,4,5.5,5,5,4.5,4,4,6,6.5,4.5,5,0,4.5,5,5,0,0,0,5,0,0,0,0,0,0,0,4,0,0,4.5,0,2,,,,1,,5,0.6557,437,8,8,49.49,22,,,0,Cremonese,,,,,,,SerieA
